EGroup,Названия строк,000,001,002,003,008,010,011,012,013,014,015,016,017,018,020,021,022,023,024,026,028,029,030,031,032,033,039,040,041,042,050,051,052,053,054,056,060,061,062,063,066,067,068,069,070,071,072,074,075,076,077,078,088,089,
IMS_AP_ChangeOwner_Civil,СУ,+,,+,+,+,+,+,+,+,+,+,,+,+,,+,+,,+,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,+,,
IMS_AP_ChangeOwner_Special,УСП,+,+,+,+,,+,+,+,,+,+,+,,,,+,,,+,,,,,,,,,+,+,+,,+,,,,,+,+,+,+,,,,,,,,,,+,+,,+,,
IMS_AP_ChangeOwner_Process_1,ТУ-1,+,,,,,,+,+,,,+,,,,+,+,+,,,+,+,+,,,,,,,,,,+,+,+,+,+,,,+,,,+,,,+,,,,,,,,+,,
IMS_AP_ChangeOwner_Science,НКУ,+,,,,,,+,,,,,,,,,+,+,+,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,+,+,+,,,+,+,
IMS_AP_ChangeOwner_Process_2,ТУ-2,+,,,,,+,+,+,,+,,,,,+,+,,+,+,,+,+,,,,,,,,,+,+,+,,+,,,,+,,,+,,,,,,,,,,,+,,
IMS_AP_ChangeOwner_Electrical,ЭТУ,+,,,,,,,+,,,,,,,,+,,,,,,,+,+,+,+,+,,,,,,,,,,,,,,,,,,+,,,,,,,,+,,
IMS_AP_ChangeOwner_I&C,УПСА,+,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,+,+,+,,,,,+,+,,
IMS_AP_ChangeOwner_Safety,УТБ,+,,,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,+,,
IMS_AP_ChangeOwner_IDB_1,БКП-1,+,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,+,,+,,,,+,+,+,+,,,,,,,,,,,,+,,
IMS_AP_ChangeOwner_IDB_2,БКП-2,+,,,,,+,+,+,,,,,,+,,,,,,,,,+,,,,,,,,+,,,,,,,,,,+,+,,,,,,,,,,,+,,
IMS_AP_ChangeOwner_IDB_3,БКП-3,+,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,+,,,,,,,,+,,
IMS_AP_ChangeOwner_EngineeringSurvey,ОИИ,+,,+,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,
edsChMOrgChangeManager,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,
,
